Test Name,Status,Config Pass Count,Config Fail Count,Test Pass Count,Test Fail Count,Test Skip Count,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.wrapperAfterMethod,CONFIG PASS,82,13,0,0,69,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.testCreateReservationWithExistingGuestWithVisa,TEST SKIPPED,82,13,0,0,70,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.wrapperAfterMethod,CONFIG PASS,83,13,0,0,70,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.testCreateReservationWithNewGuestWithCash,TEST SKIPPED,83,13,0,0,71,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.wrapperAfterMethod,CONFIG PASS,84,13,0,0,71,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.testCreateReservationWithNewGuestWithDirectBill,TEST SKIPPED,84,13,0,0,72,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.wrapperAfterMethod,CONFIG PASS,85,13,0,0,72,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.testCreateReservationWithNewGuestWithVisaOverrideDeposit,TEST SKIPPED,85,13,0,0,73,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.wrapperAfterMethod,CONFIG PASS,86,13,0,0,73,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.defaultAfterClass,CONFIG PASS,87,13,0,0,73,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.beforeClass,CONFIG FAIL,87,14,0,0,73,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.testCreateReservationWithAddress,TEST SKIPPED,87,14,0,0,74,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.wrapperAfterMethod,CONFIG PASS,88,14,0,0,74,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.testCreateReservationWithEmail,TEST SKIPPED,88,14,0,0,75,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.wrapperAfterMethod,CONFIG PASS,89,14,0,0,75,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.testCreateReservationWithExistingProfileTrackingInfo,TEST SKIPPED,89,14,0,0,76,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.wrapperAfterMethod,CONFIG PASS,90,14,0,0,76,
